marketing_start_date,group_id,Vores_approval,unii,SMILES
19581114.0,50767.0,1,71WO621TJD,[C@H]12NC([C@H](NC([C@@H]3NC([C@@H](NC([C@H](NC([C@@H](CC(C)C)NC)=O)[C@H](O)c4ccc(Oc5c(c(Oc6ccc([C@H]1O)cc6Cl)cc3c5)O[C@H]7[C@@]([C@@H](O)[C@@H]([C@H](O7)CO)O)(O[C@H]8C[C@@](N)(C)[C@@H]([C@@H](O8)C)O)[H])c(c4)Cl)=O)CC(=O)N)=O)=O)c9cc(-c%10c([C@H](NC2=O)C(=O)O)cc(cc%10O)O)c(O)cc9)=O.Cl
19590401.0,26696.0,1,N0A3Z5XTC6,C(C(c1ccccc1)CO)(N(Cc2ccncc2)CC)=O
19590402.0,46606.0,1,LEC9GKY20K,[C@]12(C(=CC(C=C1)=O)[C@@H](C)C[C@@]3([C@@]2([C@H](C[C@@]4([C@](C(COC(=O)CCC([O-])=O)=O)(O)CC[C@@]34[H])C)O)[H])[H])C.[Na+]
19590528.0,115038.0,1,43502P7F0P,[C@]12(C(=CC(C=C1)=O)[C@@H](C)C[C@@]3([C@@]2([C@H](C[C@@]4([C@](C(COC(=O)C)=O)(O)CC[C@@]34[H])C)O)[H])[H])C
19590603.0,131012.0,1,C2QI4IOI2G,[C@]12(C(=CC(CC1)=O)[C@@H](C)C[C@@]3([C@@]2(CC[C@@]4([C@@](OC(=O)C)(C(=O)C)CC[C@@]34[H])C)[H])[H])C
19590616.0,41636.0,1,125OD7737X,C(=O)(OCC(COc1c(OC)cccc1)O)N
19590701.0,86117.0,1,34237V843T,c1(noc(c1)C)C(=O)NNCc2ccccc2
19600121.0,117162.0,1,27O7W4T232,[C@]12(C(=CC(CC1)=O)C[C@H]([C@]3([C@@]4(CC[C@@]5([C@]4(CC[C@]23[H])C)OC(=O)CC5)[H])[H])SC(=O)C)C
19600915.0,62997.0,1,03J5ZE7KA5,O.N1([C@H]2C[C@H](OC(C(c3ccccc3)CO)=O)C[C@@H]1CC2)C.OS(=O)(=O)O.N1([C@H]2C[C@H](OC(C(c3ccccc3)CO)=O)C[C@@H]1CC2)C
19600915.0,62997.0,1,W24OD7YW48,C1(C(=O)OCC)(CCN(CC1)CCC(C#N)(c2ccccc2)c3ccccc3)c4ccccc4.Cl
19610609.0,57297.0,1,2681D7P965,S(O)(O)(=O)=O.N(N)CCc1ccccc1
19620125.0,81878.0,1,ZS9KD92H6V,C(C(c1cnccc1)(C)C)(c2cnccc2)=O
19620215.0,64901.0,1,77W477J15H,S1(NC=Nc2c1cc(c(c2)Cl)S(=O)(=O)N)(=O)=O
19630101.0,123170.0,0,3T8H1794QW,c1(c(ccc(c1)CC=C)O)OC
19630101.0,123170.0,0,6JKA7MAH9C,c1(c(OC)cccc1)O
19630101.0,71592.0,1,142M471B3J,C(=O)=O
19630611.0,33258.0,1,0CD5FD6S2M,[C@@]12([C@@]3([C@@]([C@@]4(C[C@H](F)C=5[C@@]([C@]4([C@H](C3)O)F)(C=CC(=O)C5)C)[H])([H])C[C@]1(OC(O2)(C)C)[H])C)C(=O)CO
19631115.0,127596.0,1,Q3JTX2Q7TU,c12c(N(C(=O)CN=C1c3ccccc3)C)ccc(c2)Cl
19640608.0,50666.0,1,3OWL53L36A,[C@H]([C@@H]([C@H](O)CO)O)([C@H](O)CO)O
19641115.0,31307.0,1,7S5I7G3JQL,[C@]12([C@]([C@@]3(CCC=4[C@@]([C@]3([C@H](C1)O)F)(C=CC(=O)C4)C)[H])(C[C@H]([C@@]2(C(=O)CO)O)C)[H])C
19641120.0,18563.0,1,1Y58DO4MY1,N1(c2c(CCc3c1cccc3)cccc2)CCCNC.Cl
19641210.0,35247.0,1,1CC1JFE158,c1(c2-c(oc3c(n2)c(C(N[C@@H]4C(N[C@@H](C(N5[C@](C(=O)N(CC(N([C@H](C(O[C@@H]4C)=O)C(C)C)C)=O)C)(CCC5)[H])=O)C(C)C)=O)=O)ccc3C)c(c(c1N)=O)C)C(N[C@@H]6C(N[C@@H](C(N7[C@](C(=O)N(CC(N([C@H](C(O[C@@H]6C)=O)C(C)C)C)=O)C)(CCC7)[H])=O)C(C)C)=O)=O
19641229.0,47043.0,1,M6T05Z2B68,[C@]1(O[C@H](SC)[C@@H]([C@H]([C@H]1O)O)O)([C@H](NC([C@H]2N(C[C@@H](C2)CCC)C)=O)[C@H](O)C)[H].Cl.O
19650310.0,117709.0,1,38X7XS076H,c1([n+](cccc1)C)/C=N/O.[Cl-]
